geography,year,share_of_enterprises_using_ai_pct,source,source_url,trust_tier
Albania,2021,3.67,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Albania,2024,8.91,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Albania,2025,8.99,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Austria,2021,8.83,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Austria,2023,10.79,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Austria,2024,20.27,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Austria,2025,29.95,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Bosnia and Herzegovina,2021,2.07,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Bosnia and Herzegovina,2023,5.34,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Bosnia and Herzegovina,2024,6.36,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Bosnia and Herzegovina,2025,10.78,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Belgium,2021,10.32,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Belgium,2023,13.81,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Belgium,2024,24.71,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Belgium,2025,34.54,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Bulgaria,2021,3.29,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Bulgaria,2023,3.62,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Bulgaria,2024,6.47,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Bulgaria,2025,8.55,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Cyprus,2021,2.59,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Cyprus,2023,4.67,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Cyprus,2024,7.9,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Cyprus,2025,9.27,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Czechia,2021,4.46,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Czechia,2023,5.9,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Czechia,2024,11.26,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Czechia,2025,17.6,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Germany,2021,10.56,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Germany,2023,11.55,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Germany,2024,19.75,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Germany,2025,25.97,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Denmark,2021,23.89,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Denmark,2023,15.17,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Denmark,2024,27.58,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Denmark,2025,42.03,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,8.36,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,8.84,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,14.39,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,21.37,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Estonia,2021,2.77,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Estonia,2023,5.19,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Estonia,2024,13.89,"Eurostat isoc_eb_ai (E_AI_TANY, 10+ employees)",https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
