geography,geo_type,business_base_count,base_definition,base_year,source,source_url,trust_tier
Alaska,US state,22178,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Alabama,US state,105720,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Arkansas,US state,70452,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Arizona,US state,162845,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
California,US state,1029689,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Colorado,US state,182486,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Connecticut,US state,89234,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Washington DC,US state,23801,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Delaware,US state,29706,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Florida,US state,645575,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Georgia,US state,261320,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Hawaii,US state,32911,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Iowa,US state,83321,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Idaho,US state,58100,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Illinois,US state,322415,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Indiana,US state,155692,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Kansas,US state,76139,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
Kentucky,US state,94402,"employer establishments, all sizes",2023,"US Census Bureau, County Business Patterns",https://www.census.gov/programs-surveys/cbp.html,T1
